text,sentiment
"Sulit untuk menghubungi instruktur jika ada pertanyaan.",0
"Kursus ini memberikan pandangan yang sangat baik tentang topik tersebut.",1
"Materi kurang terstruktur. Instruktur tidak memberikan panduan yang baik.",0
"Sangat puas dengan kursus ini. Materi sangat bermanfaat dan praktis.",1
"Penyajian materi sangat membosankan. Tidak menarik perhatian.",0
"Instruktur memberikan solusi yang inovatif untuk permasalahan yang umum.",1
"Saya tidak merekomendasikan kursus ini. Tidak sesuai dengan harapan.",0
"Materi kursus memberikan dasar yang kuat untuk pemahaman lebih lanjut.",1
"Kursus ini memberikan pemahaman yang jelas dan terperinci tentang topik.",1
"Saya merasa kebingungan sepanjang kursus. Materi terlalu rumit.",0
"Instruktur sangat mendukung dan responsif terhadap pertanyaan peserta.",1
"Kursus ini memberikan pemahaman yang mendalam dalam waktu singkat.",1
"Materi kurang relevan dengan kebutuhan pekerjaan sehari-hari.",0
"Instruktur memberikan contoh kasus yang sangat berguna.",1
"Kursus ini sangat membosankan dan tidak informatif.",0
"Sangat senang bisa mengikuti kursus ini. Materi sangat aplikatif.",1
"Materi kurang mendalam. Tidak mencakup aspek yang kompleks.",0
"Instruktur memberikan ilustrasi yang mudah dimengerti.",1
"Kursus ini memberikan wawasan baru tentang bidang studi tersebut.",1
"Saya kecewa karena tidak ada sumber daya tambahan.",0
"Materi terlalu umum. Tidak memberikan pemahaman yang mendalam.",0
"Instruktur memberikan penjelasan yang singkat dan padat.",1
"Kursus ini memberikan perspektif yang unik tentang topik tersebut.",1
"Sulit untuk menemukan dukungan teknis yang dibutuhkan.",0
"Saya sangat puas dengan materi dan cara penyajian instruktur.",1
"Materi terlalu teknis. Tidak sesuai untuk pemula.",0
"Kursus ini luar biasa! Sangat merekomendasikan.",1
"Materi sangat membosankan. Tidak sesuai dengan ekspektasi saya.",0
"Instruktur hebat! Penjelasannya mudah dipahami.",1
"Saya kecewa. Materi kurang mendalam dan tidak berguna.",0
"Kursus ini memberikan wawasan baru yang mengejutkan.",1
"Sayang sekali, tidak ada nilai tambah dari kursus ini.",0
"Materi sangat praktis dan relevan. Puas!",1
"Instruktur tidak kompeten. Tidak puas dengan pelayanan.",0
"Kursus ini memberikan ilustrasi yang jelas dan padat.",1
"Tidak direkomendasikan. Materi terlalu umum.",0
"Instruktur memberikan tips luar biasa! Terima kasih.",1
"Kursus ini tidak sesuai dengan kebutuhan saya.",0
"Sangat membantu dan mudah dipahami. Bagus!",1
"Materi kurang terstruktur dengan baik. Sulit diikuti.",0
"Instruktur sangat menginspirasi. Saya puas mengikuti kursus ini.",1
"Kursus ini memberikan pemahaman yang cepat dan efektif.",1
"Materi tidak berguna. Saya merasa disia-siakan.",0
"Instruktur memberikan contoh kasus yang sangat membantu.",1
"Tidak puas. Materi kurang mendalam.",0
"Kursus ini memberikan panduan yang sangat praktis.",1
"Materi terlalu dasar. Saya harapkan lebih banyak.",0
"Instruktur sangat ramah. Kursus ini menyenangkan diikuti.",1
"Sulit memahami materi. Instruktur tidak responsif.",0
"Kursus ini memberikan perspektif baru yang menarik.",1
"Saya merasa terinspirasi setelah menyelesaikan kursus ini.",1
